2020-04-30;24376
2020-04-29;24087
2020-04-28;23660
2020-04-27;23293
2020-04-26;22856
2020-04-25;22614
2020-04-24;22245
2020-04-23;21856
2020-04-22;21340
2020-04-21;20796
2020-04-20;20265
2020-04-19;19718
2020-04-18;19323
2020-04-17;18681
2020-04-16;17920
2020-04-15;17167
2020-04-14;15729
2020-04-13;14967
2020-04-12;14393
2020-04-11;13832
2020-04-10;13197
2020-04-09;12210
2020-04-08;10869
2020-04-07;10328
2020-04-06;8911
2020-04-05;8078
2020-04-04;7560
2020-04-03;6507
2020-04-02;5387
2020-04-01;4403
2020-03-31;3523
2020-03-30;3024
2020-03-29;2606
2020-03-28;2314
2020-03-27;1995
2020-03-26;1696
2020-03-25;1331
2020-03-24;1100
2020-03-23;860
2020-03-22;674
2020-03-21;562
2020-03-20;450
2020-03-19;243
2020-03-18;148
2020-03-17;148
2020-03-16;148
2020-03-15;91
2020-03-14;91
2020-03-13;79
2020-03-12;48
2020-03-11;48
2020-03-10;33
2020-03-09;19
2020-03-08;19
2020-03-07;11
2020-03-06;9
2020-03-05;6
2020-03-04;4
2020-03-03;4
2020-03-02;3
2020-03-01;2
2020-02-29;2
2020-02-28;2
2020-02-27;2
2020-02-26;2
2020-02-25;1
2020-02-24;1
2020-02-23;1
2020-02-22;1
2020-02-21;1
2020-02-20;1
2020-02-19;1
2020-02-18;1
2020-02-17;1
2020-02-16;1
2020-02-15;1
2020-02-14;0
2020-02-13;0
2020-02-12;0
2020-02-11;0
2020-02-10;0
2020-02-09;0
2020-02-08;0
2020-02-07;0
2020-02-06;0
2020-02-05;0
2020-02-04;0
2020-02-03;0
2020-02-02;0
2020-02-01;0
2020-01-31;0
2020-01-30;0
2020-01-29;0
2020-01-28;0
2020-01-27;0
2020-01-26;0
2020-01-25;0
2020-01-24;0
2020-01-23;0
2020-01-22;0
